Vessel,Trip No,Counter,Status,Customer,Month,Time,Total Time,Last Discharge Port Depart,Discharge Port Depart,Discharge Counts,Load Counts,Trip Details,Product,Load Quantity,Total Load Quantity,Details,Vessel_y,Customer (Finance),Cargo (Finance),Contract Type,Load-Port 1,Load-Port 2,Load-Port 3,Discharge-Port 1,Discharge-Port 2,Discharge-Port 3,Discharge-Port 4,Trade Pattern (per sched),TRADE MASTER,Schedule Map,Freight rate (per tonne) - PY,Time charter rate (per day) - PY,Rebate (per tonne) - PY,Other revenue (per trip) - PY,Demurrage rate - PY,Despatch rate - PY,Avg. cc / trip (PY),Freight rate (per tonne) - CY,Time charter rate (per day) - CY,Rebate (per tonne) - CY,Other revenue (per trip) - CY,Demurrage rate - CY,Despatch rate - CY,Type,Avg. cc / trip (CY),Fuel surcharge peg (per L),Fuel surcharge type,Fuel surcharge (tonnage factor),Fuel surcharge (litres factor),Calc comments,Reference price,Column1,In CY schedules?,Total Freight,Total Rebate,Total Time Charter,Total Revenue,a_start_str,a_end_str,Timing,Timing_str
Alouette Spirit,1.0,2,COMPLETE,Alouette,Apr,8.31,9.97,2024-03-30 08:20:00.000,2024-04-09 07:30:00.000,1,1,"Alouette,Aluminum,Sept Iles,Toledo",Aluminum,11493.63,11493.63,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Toledo,,,,Sept-Iles__-Toledo___,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Toledo___,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",35.76,0,2.15,0,951.13,-475.57,57004,36.12,0,2.5447053690843306,0,960.64,-480.33,Dry Bulk,58942.136,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,415149.91559999995,29247.901971268733,0.0,385902.0136287312,20240330082000,20240409073000,20240330082000.20240409073000,20240330082000.20240409073000
Alouette Spirit,2.0,3,COMPLETE,ADM,Apr,6.55,6.55,2024-04-09 07:30:00.000,2024-04-15 20:45:00.000,1,1,"ADM,Grain,Windsor,Sillery",Grain,6469.12,6469.12,"Alouette Spirit,ADM,Grain,Windsor,Sillery",Alouette Spirit,ADM,Grain,COA,Windsor,,,Sillery,,,,Windsor__-Sillery___,Alouette Spirit*ADM*Grain*Windsor__-Sillery___,"Alouette Spirit,ADM,Grain,Windsor,Sillery",21.01,0,0,0,737.9,-624.38,29710,21.93,0,0,0,770.37,-385.18,Dry Bulk,30720.14,0.725,Tonnage-based,5,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Fuel Price on date of loading in Hamilton,,YES,141867.8016,0.0,0.0,141867.8016,20240409073000,20240415204500,20240409073000.20240415204500,20240409073000.20240415204500
Alouette Spirit,3.0,4,COMPLETE,Alouette,Apr,8.87,8.87,2024-04-15 20:45:00.000,2024-04-24 17:40:00.000,1,1,"Alouette,Aluminum,Sept Iles,Toledo",Aluminum,11493.99,11493.99,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Toledo,,,,Sept-Iles__-Toledo___,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Toledo___,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",35.76,0,2.15,0,951.13,-475.57,57004,36.12,0,2.5447053690843306,0,960.64,-480.33,Dry Bulk,58942.136,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,415162.9188,29248.818065201605,0.0,385914.10073479835,20240415204500,20240424174000,20240415204500.20240424174000,20240415204500.20240424174000
Alouette Spirit,4.0,5,COMPLETE,ADM,Apr,5.41,5.41,2024-04-24 17:40:00.000,2024-04-30 03:25:00.000,1,1,"ADM,Grain,Toledo,Windsor",Grain,8064.64,8064.64,"Alouette Spirit,ADM,Grain,Toledo,Windsor",Alouette Spirit,ADM,Grain,COA,Toledo,,,Windsor,,,,Toledo__-Windsor___,Alouette Spirit*ADM*Grain*Toledo__-Windsor___,"Alouette Spirit,ADM,Grain,Toledo,Windsor",8.96,0,0,0,687.7,-343.85,1031.9505,9.45,0,0,0,720,-360,Dry Bulk,1067.036817,0,,0,0,Simple - litres * price diff,There is no fuel surcharge,,YES,76210.848,0.0,0.0,76210.848,20240424174000,20240430032500,20240424174000.20240430032500,20240424174000.20240430032500
Alouette Spirit,5.0,6,COMPLETE,ADM Split,May,10.17,11.02,2024-04-30 03:25:00.000,2024-05-11 04:00:00.000,2,2,"ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Calcium/Grain,6356.06,12230.46,"Alouette Spirit,ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Alouette Spirit,ADM/Trillium,Grain/Calcium Split,COA,Windsor,Courtright,,Cornwall,SIllery,,,Windsor_Courtright_-Cornwall_SIllery__,Alouette Spirit*ADM/Trillium*Grain/Calcium Split*Windsor_Courtright_-Cornwall_SIllery__,"Alouette Spirit,ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",24.740000000000002,0,0.9165,0,737.9,-624.38,39185,25.63,0,0.9165,0,793.63,-396.82,Dry Bulk,40517.29,0.8,Litres-based & Tonnage-based,2.6,55000,Multiple,Multiple,,YES,313466.6898,11209.216589999998,0.0,302257.47320999997,20240430032500,20240511040000,20240430032500.20240511040000,20240430032500.20240511040000
Alouette Spirit,6.0,7,COMPLETE,Alouette,May,10.49,10.49,2024-05-11 04:00:00.000,2024-05-21 15:40:00.000,1,1,"Alouette,Aluminum,Sept Iles,Toledo",Aluminum,11494.32,11494.32,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Toledo,,,,Sept-Iles__-Toledo___,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Toledo___,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",35.76,0,2.15,0,951.13,-475.57,57004,36.12,0,2.5447053690843306,0,960.64,-480.33,Dry Bulk,58942.136,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,415174.83839999995,29249.657817973402,0.0,385925.18058202654,20240511040000,20240521154000,20240511040000.20240521154000,20240511040000.20240521154000
Alouette Spirit,7.0,8,COMPLETE,Alouette,Jun,1.98,12.32,2024-05-21 15:40:00.000,2024-06-02 23:25:00.000,1,1,"Alouette,Aluminum,Sept Iles,Toledo",Aluminum,11497.78,11497.78,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Toledo,,,,Sept-Iles__-Toledo___,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Toledo___,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",35.76,0,2.15,0,951.13,-475.57,57004,36.12,0,2.5447053690843306,0,960.64,-480.33,Dry Bulk,58942.136,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,415299.8136,29258.462498550438,0.0,386041.3511014496,20240521154000,20240602232500,20240521154000.20240602232500,20240521154000.20240602232500
Alouette Spirit,8.0,9,COMPLETE,ADM,Jun,12.39,12.39,2024-06-02 23:25:00.000,2024-06-15 08:53:00.000,1,1,"ADM,Grain,Windsor,Sillery",Grain,6352.66,6352.66,"Alouette Spirit,ADM,Grain,Windsor,Sillery",Alouette Spirit,ADM,Grain,COA,Windsor,,,Sillery,,,,Windsor__-Sillery___,Alouette Spirit*ADM*Grain*Windsor__-Sillery___,"Alouette Spirit,ADM,Grain,Windsor,Sillery",21.01,0,0,0,737.9,-624.38,29710,21.93,0,0,0,770.37,-385.18,Dry Bulk,30720.14,0.725,Tonnage-based,5,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Fuel Price on date of loading in Hamilton,,YES,139313.8338,0.0,0.0,139313.8338,20240602232500,20240615085300,20240602232500.20240615085300,20240602232500.20240615085300
Alouette Spirit,9.0,10,COMPLETE,Alouette,Jun,9.25,9.25,2024-06-15 08:53:00.000,2024-06-24 14:58:00.000,1,1,"Alouette,Aluminum,Sept Iles,Toledo",Aluminum,11494.82,11494.82,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Toledo,,,,Sept-Iles__-Toledo___,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Toledo___,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",35.76,0,2.15,0,951.13,-475.57,57004,36.12,0,2.5447053690843306,0,960.64,-480.33,Dry Bulk,58942.136,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,415192.89839999995,29250.930170657946,0.0,385941.968229342,20240615085300,20240624145800,20240615085300.20240624145800,20240615085300.20240624145800
Alouette Spirit,10.0,11,COMPLETE,ADM Split,Jul,3.79,10.16,2024-06-24 14:58:00.000,2024-07-04 18:55:00.000,2,2,"ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Calcium/Grain,6200.11,10778.3,"Alouette Spirit,ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Alouette Spirit,ADM/Trillium,Grain/Calcium Split,COA,Windsor,Courtright,,Cornwall,SIllery,,,Windsor_Courtright_-Cornwall_SIllery__,Alouette Spirit*ADM/Trillium*Grain/Calcium Split*Windsor_Courtright_-Cornwall_SIllery__,"Alouette Spirit,ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",24.740000000000002,0,0.9165,0,737.9,-624.38,39185,25.63,0,0.9165,0,793.63,-396.82,Dry Bulk,40517.29,0.8,Litres-based & Tonnage-based,2.6,55000,Multiple,Multiple,,YES,276247.82899999997,9878.31195,0.0,266369.51704999997,20240624145800,20240704185500,20240624145800.20240704185500,20240624145800.20240704185500
Alouette Spirit,11.0,12,COMPLETE,Alouette,Jul,8.53,8.53,2024-07-04 18:55:00.000,2024-07-13 07:39:00.000,1,1,"Alouette,Aluminum,Sept Iles,Toledo",Aluminum,10495.78,10495.78,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Toledo,,,,Sept-Iles__-Toledo___,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Toledo___,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",35.76,0,2.15,0,951.13,-475.57,57004,36.12,0,2.5447053690843306,0,960.64,-480.33,Dry Bulk,58942.136,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,379107.5736,26708.66771872794,0.0,352398.90588127205,20240704185500,20240713073900,20240704185500.20240713073900,20240704185500.20240713073900
Alouette Spirit,12.0,13,CURRENT,ADM,Jul,9.64,9.64,2024-07-13 07:39:00.000,2024-07-22 23:00:00.000,1,1,"ADM,Grain,Windsor,Sillery",Grain,6325.01,6325.01,"Alouette Spirit,ADM,Grain,Windsor,Sillery",Alouette Spirit,ADM,Grain,COA,Windsor,,,Sillery,,,,Windsor__-Sillery___,Alouette Spirit*ADM*Grain*Windsor__-Sillery___,"Alouette Spirit,ADM,Grain,Windsor,Sillery",21.01,0,0,0,737.9,-624.38,29710,21.93,0,0,0,770.37,-385.18,Dry Bulk,30720.14,0.725,Tonnage-based,5,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Fuel Price on date of loading in Hamilton,,YES,138707.4693,0.0,0.0,138707.4693,20240713073900,20240722230000,20240713073900.20240722230000,20240713073900.20240722230000
Alouette Spirit,13.0,14,Firm,Alouette,Aug,0.52,9.56,2024-07-22 23:00:00.000,2024-08-01 12:31:58.960,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,11500.0,11500.0,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,53046,35.17,0,2.5447053690843306,0,960.64,-480.33,Dry Bulk,54849.564,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,404455.0,29264.111744469803,0.0,375190.8882555302,20240722230000,20240801123158,20240722230000.20240801123158,20240722230000.20240801123158
Alouette Spirit,14.0,15,Firm,ADM,Aug,6.71,6.71,2024-08-01 12:31:58.960,2024-08-08 05:38:59.112,1,1,"ADM,Grain,Windsor,Sillery",Grain,6200.0,6200.0,"Alouette Spirit,ADM,Grain,Windsor,Sillery",Alouette Spirit,ADM,Grain,COA,Windsor,,,Sillery,,,,Windsor__-Sillery___,Alouette Spirit*ADM*Grain*Windsor__-Sillery___,"Alouette Spirit,ADM,Grain,Windsor,Sillery",21.01,0,0,0,737.9,-624.38,29710,21.93,0,0,0,770.37,-385.18,Dry Bulk,30720.14,0.725,Tonnage-based,5,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Fuel Price on date of loading in Hamilton,,YES,135966.0,0.0,0.0,135966.0,20240801123158,20240808053859,20240801123158.20240808053859,20240801123158.20240808053859
